"['Argo']","0.189146","0.34661","0.17576","0.167344","0.383973","0.0","0.0","0.0","0.822","0.779","0.095","0.042","0.311"
"['ATM']","0.275847","0.034247","0.117887","0.061454","0.489076","0.0","0.0","0.0","0.27","0.444","0.402","0.601","0.717"
"['Bachelorette']","0.378984","0.396815","0.152102","0.06217","0.138132","0.0","0.0","0.746","0.19","0.533","0.915","0.823","0.447"
"['Bad Ass']","0.466134","0.538636","0.201628","0.029657","0.130035","0.0","0.502","0.0","0.076","0.011","0.953","0.234","0.964"
"['Bad Kids Go to Hell']","0.589543","0.521726","0.098088","0.01564","0.156899","0.0","0.707","0.0","0.091","0.013","0.944","0.356","0.918"
"['Barbie in A Mermaid Tale 2']","0.217183","0.291353","0.338871","0.219998","0.233141","0.0","0.0","0.0","0.989","0.843","0.121","0.275","0.17"
"['Barbie: The Princess and the Popstar']","0.338233","0.102056","0.303688","0.285079","0.261825","0.004","0.049","0.0","0.641","0.658","0.469","0.451","0.289"
"['Barricade']","0.083572","0.391323","0.41752","0.087909","0.092009","0.0","0.0","0.396","0.747","0.518","0.181","0.086","0.354"
"['Batman Revealed']","0.058916","0.032885","0.88612","0.077401","0.053206","0.0","0.0","0.0","0.727","0.231","0.393","0.055","0.833"
"['2 Guns']","0.474057","0.046331","0.971273","0.021664","0.010411","0.0","0.346","0.0","0.301","0.017","0.703","0.221","0.877"
"[""Let's Kill Ward's Wife""]","0.262482","0.142691","0.311082","0.06038","0.165091","0.0","0.0","0.861","0.035","0.015","0.965","0.859","0.936"
"['Paranormal Activity: The Marked Ones']","0.320763","0.152178","0.746188","0.043646","0.211914","0.0","0.0","0.629","0.61","0.368","0.161","0.071","0.81"
"['Batman: The Dark Knight Returns']","0.17303","0.313676","0.415159","0.073555","0.246551","0.0","0.0","0.0","0.431","0.813","0.293","0.428","0.327"
"['Battlefield America']","0.170836","0.644124","0.821388","0.01839","0.184872","0.0","0.778","0.0","0.063","0.085","0.845","0.85","0.803"
"['Battleship']","0.853856","0.42639","0.172231","0.019185","0.47287","0.0","0.0","0.148","0.143","0.183","0.607","0.576","0.855"
"['BearCity']","0.259111","0.542911","0.249771","0.056443","0.649473","0.0","0.0","0.553","0.521","0.223","0.174","0.351","0.764"
"['Beasts of the Southern Wild']","0.596749","0.051052","0.599859","0.018773","0.381387","0.0","0.0","0.086","0.825","0.727","0.314","0.198","0.188"
"['Beauty and the Beast 3D']","0.208389","0.061069","0.196118","0.177795","0.146133","0.0","0.0","0.257","0.419","0.481","0.39","0.54","0.884"
"['Being Flynn']","0.163575","0.535224","0.404072","0.036022","0.300334","0.0","0.225","0.0","0.29","0.148","0.631","0.444","0.828"
"['Another Bullshit Night in Suck City']","0.254975","0.337626","0.177207","0.209553","0.106802","0.0","0.0","0.0","0.227","0.024","0.62","0.467","0.963"
"['Ben Banks']","0.179768","0.261935","0.157067","0.193407","0.485108","0.0","0.0","0.0","0.961","0.163","0.085","0.053","0.833"
"['Bending the Rules']","0.028756","0.204767","0.607586","0.071654","0.046343","0.0","0.545","0.0","0.335","0.458","0.455","0.608","0.814"
"['Bernie']","0.186403","0.151602","0.032987","0.128052","0.679386","0.0","0.556","0.0","0.228","0.343","0.254","0.467","0.859"
"['Texas Monthly']","0.130581","0.289349","0.418448","0.116073","0.240184","0.0","0.0","0.923","0.323","0.768","0.323","0.516","0.855"
"['Best Man Down']","0.322274","0.226277","0.380061","0.235958","0.230494","0.0","0.0","0.858","0.117","0.944","0.856","0.954","0.201"
"['Beyond']","0.266247","0.310472","0.272809","0.02998","0.624598","0.0","0.0","0.441","0.373","0.358","0.344","0.185","0.818"
"['Big Miracle']","0.210597","0.288251","0.13871","0.399064","0.064282","0.0","0.0","0.565","0.257","0.083","0.675","0.712","0.827"
"['Big Top Scooby-Doo!']","0.303116","0.176481","0.326894","0.137216","0.320987","0.0","0.0","0.773","0.209","0.49","0.93","0.906","0.029"
"['Bill W']","0.129268","0.174306","0.344539","0.173954","0.224854","0.0","0.0","0.904","0.299","0.426","0.316","0.786","0.669"
